year,tuberculosis_cases,hiv_new_cases,measles_cases,influenza_cases,hepatitis_b_cases
2011,98000,62000,629,520000,18500
2012,95000,68000,2106,490000,18000
2013,90000,79000,2330,470000,17600
2014,86000,85000,4711,455000,17000
2015,84000,93000,840,440000,16500
2016,78000,103000,178,430000,16000
2017,70000,104000,725,410000,15400
2018,65000,101000,2538,398000,14800
2019,60000,94000,4470,385000,14300
2020,52000,72000,1210,300000,13600
2021,47000,71000,316,250000,13000
2022,43000,68000,102,230000,12400
2023,41000,65000,1280,215000,11800
2024,39000,63000,2460,205000,11300
2025,37000,61000,1990,198000,10800
