year,marriages_total,divorces_total,male_peak_marriage_age,female_peak_marriage_age,male_peak_divorce_age,female_peak_divorce_age
2011,1316011,669376,25-29,20-24,30-34,25-29
2012,1213598,644101,25-29,20-24,30-34,25-29
2013,1225501,667971,25-29,20-24,30-34,25-29
2014,1225985,693730,25-29,20-24,30-34,25-29
2015,1161068,611646,25-29,20-24,30-34,25-29
2016,985836,608336,30-34,25-29,35-39,30-34
2017,1049725,611436,30-34,25-29,35-39,30-34
2018,893039,583942,30-34,25-29,35-39,30-34
2019,950167,620730,30-34,25-29,35-39,30-34
2020,770857,564704,30-34,25-29,35-39,30-34
2021,923553,644209,30-34,25-29,35-39,30-34
2022,1053341,682850,30-34,25-29,35-39,30-34
2023,945995,669918,30-34,25-29,35-39,30-34
2024,879512,653210,30-34,25-29,35-39,30-34
2025,901245,641002,30-34,25-29,35-39,30-34
